"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_MAP_MARKERS_OFF","Markers are disabled on this server","Markers are disabled on this server","Značky jsou na tomto serveru vypnuté","Markierungen sind auf diesem Server deaktiviert","Метки отключены на этом сервере","Znaczniki są wyłączone na tym serwerze","A jelölők ki vannak kapcsolva ezen a szerveren","I segnalini sono disattivati su questo server","Los marcadores están desactivados en este servidor","Les marqueurs sont désactivés sur ce serveur","此服务器已禁用标记","このサーバーではマーカーが無効です","Os marcadores estão desativados neste servidor","此服务器已禁用标记"
"STR_MAP_COMPASS_N","N","N","S","N","С","N","É","N","N","N","北","北","N","北"
"STR_MAP_COMPASS_NE","NE","NE","SV","NO","СВ","NE","ÉK","NE","NE","NE","東北","北東","NE","东北"
"STR_MAP_COMPASS_E","E","E","V","O","В","E","K","E","E","E","東","東","E","东"
"STR_MAP_COMPASS_SE","SE","SE","JV","SO","ЮВ","SE","DK","SE","SE","SE","東南","南東","SE","东南"
"STR_MAP_COMPASS_S","S","S","J","S","Ю","S","D","S","S","S","南","南","S","南"
"STR_MAP_COMPASS_SW","SW","SW","JZ","SW","ЮЗ","SW","DNy","SO","SO","SO","西南","南西","SO","西南"
"STR_MAP_COMPASS_W","W","W","Z","W","З","W","Ny","O","O","O","西","西","O","西"
"STR_MAP_COMPASS_NW","NW","NW","SZ","NW","СЗ","NW","ÉNy","NO","NO","NO","西北","北西","NO","西北"
"STR_MAP_KEYBIND_CATEGORY","MAP","MAP","MAPA","KARTE","КАРТА","MAPA","TÉRKÉP","MAPPA","MAPA","CARTE","地图","マップ","MAPA","地图"
"STR_MAP_KEYBIND_TOGGLE","Open Map","Open Map","Otevřít mapu","Karte öffnen","Открыть карту","Otwórz mapę","Térkép megnyitása","Apri mappa","Abrir mapa","Ouvrir la carte","打开地图","マップを開く","Abrir mapa","打开地图"
"STR_MAP_KEYBIND_MINIMAP","Toggle Minimap","Toggle Minimap","Přepnout minimapu","Minikarte umschalten","Переключить миникарту","Przełącz minimapę","Minitérkép be/ki","Attiva/disattiva minimappa","Alternar minimapa","Afficher/masquer la minicarte","切换小地图","ミニマップ切り替え","Alternar minimapa","切换小地图"
"STR_MAP_KEYBIND_COMPASS","Toggle Compass","Toggle Compass","Přepnout kompas","Kompass umschalten","Переключить компас","Przełącz kompas","Iránytű be/ki","Attiva/disattiva bussola","Alternar brújula","Afficher/masquer la boussole","切换指南针","コンパス切り替え","Alternar bússola","切换指南针"
